"Rentrée";"Code.section";"Section";"Groupe";"Discipline";"Emplois_MCF";"Emplois_PR";"Effectif_MCF";"Effectif_PR";"Renouvellement";"Promotion"
"2019";"87";"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";1;3;296;97;0,00254452926208651;0,0101351351351351
"2020";"1";"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";53;30;1212;605;0,0291689598238855;0,0247524752475248
"2020";"2";"2-Droit public";"Droit et science politique";"Droit, économie et gestion";40;15;794;498;0,0309597523219814;0,0188916876574307
"2020";"3";"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";5;1;150;109;0,0193050193050193;0,00666666666666667
"2020";"4";"4-Science politique";"Droit et science politique";"Droit, économie et gestion";15;5;265;127;0,038265306122449;0,0188679245283019
"2020";"5";"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";43;25;1168;548;0,0250582750582751;0,0214041095890411
"2020";"6";"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";79;20;1620;494;0,0373699148533586;0,0123456790123457
"2020";"7";"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";26;18;530;234;0,0340314136125654;0,0339622641509434
"2020";"8";"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";7;4;185;99;0,0246478873239437;0,0216216216216216
"2020";"9";"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";24;27;594;302;0,0267857142857143;0,0454545454545455
"2020";"10";"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";5;0;127;84;0,023696682464455;0
"2020";"11";"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";53;21;1248;382;0,0325153374233129;0,0168269230769231
"2020";"12";"12-Etudes germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";6;2;286;92;0,0158730158730159;0,00699300699300699
"2020";"13";"13-Etudes slaves et baltes";"Langues et littératures";"Lettres et sciences humaines";4;2;93;33;0,0317460317460317;0,021505376344086
"2020";"14";"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";18;13;727;232;0,0187695516162669;0,0178817056396149
"2020";"15";"15-Langues, littératures et cultures africaines, asiatiques et d'autres aires";"Langues et littératures";"Lettres et sciences humaines";15;12;305;110;0,036144578313253;0,039344262295082
"2020";"16";"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";46;18;964;407;0,0335521517140773;0,0186721991701245
"2020";"17";"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";18;12;234;158;0,0459183673469388;0,0512820512820513
"2020";"18";"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";29;12;527;201;0,0398351648351648;0,0227703984819734
"2020";"19";"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";26;14;633;249;0,0294784580498866;0,0221169036334913
"2020";"20";"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";5;5;136;69;0,024390243902439;0,0367647058823529
"2020";"21";"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";14;13;479;255;0,0190735694822888;0,0271398747390397
"2020";"22";"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";32;21;669;386;0,0303317535545024;0,031390134529148
"2020";"23";"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";24;12;595;260;0,0280701754385965;0,0201680672268908
"2020";"24";"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";2;2;163;98;0,00766283524904215;0,0122699386503067
"2020";"25";"25-Mathématiques";"Mathématiques et informatique";"Sciences";25;9;796;488;0,0194704049844237;0,0113065326633166
"2020";"26";"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";41;20;1144;631;0,0230985915492958;0,0174825174825175
"2020";"27";"27-Informatique";"Mathématiques et informatique";"Sciences";71;41;2372;970;0,021244763614602;0,0172849915682968
"2020";"28";"28-Milieux denses et matériaux";"Physique";"Sciences";15;19;849;487;0,0112275449101796;0,0223792697290931
"2020";"29";"29-Constituants élémentaires";"Physique";"Sciences";4;6;221;173;0,0101522842639594;0,0271493212669683
"2020";"30";"30-Milieux dilués et optique";"Physique";"Sciences";3;3;371;247;0,00485436893203883;0,00808625336927224
"2020";"31";"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";12;13;663;324;0,0121580547112462;0,0196078431372549
"2020";"32";"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";9;5;832;392;0,00735294117647059;0,00600961538461538
"2020";"33";"33-Chimie des matériaux";"Chimie";"Sciences";10;6;577;331;0,0110132158590308;0,0103986135181976
"2020";"34";"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";0;1;113;74;0;0,00884955752212389
"2020";"35";"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";18;7;326;177;0,0357852882703777;0,0214723926380368
"2020";"36";"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";4;4;266;124;0,0102564102564103;0,0150375939849624
"2020";"37";"37-Météorologie, océanographie physique et physique de l'environnement";"Sciences de la terre";"Sciences";1;6;132;59;0,00523560209424084;0,0454545454545455
"2020";"60";"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";39;33;1611;786;0,016270337922403;0,0204841713221601
"2020";"61";"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";33;16;1208;553;0,0187393526405451;0,0132450331125828
"2020";"62";"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";15;12;698;389;0,0137994480220791;0,0171919770773639
"2020";"63";"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";28;22;1110;577;0,016597510373444;0,0198198198198198
"2020";"64";"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";24;13;774;292;0,0225140712945591;0,0167958656330749
"2020";"65";"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";21;10;752;279;0,020368574199806;0,0132978723404255
"2020";"66";"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";6;2;548;196;0,00806451612903226;0,00364963503649635
"2020";"67";"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";12;4;501;193;0,0172910662824208;0,00798403193612774
"2020";"68";"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";1;4;343;152;0,00202020202020202;0,0116618075801749
"2020";"69";"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";4;3;281;114;0,010126582278481;0,0106761565836299
"2020";"70";"70-Sciences de l'éducation et de la formation";"Pluridisciplinaire";"Lettres et sciences humaines";30;17;505;173;0,0442477876106195;0,0336633663366337
"2020";"71";"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";28;9;619;170;0,0354879594423321;0,0145395799676898
"2020";"72";"72-Epistémologie, histoire des sciences et des techniques";"Pluridisciplinaire";"Lettres et sciences humaines";2;1;69;22;0,021978021978022;0,0144927536231884
"2020";"73";"73-Cultures et langues régionales";"Pluridisciplinaire";"Lettres et sciences humaines";1;2;27;20;0,0212765957446809;0,0740740740740741
"2020";"74";"74-Sciences et techniques des activités physiques et sportives";"Pluridisciplinaire";"Lettres et sciences humaines";40;13;648;174;0,048661800486618;0,0200617283950617
"2020";"85";"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";3;4;322;112;0,00691244239631336;0,0124223602484472
"2020";"86";"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";17;4;381;179;0,0303571428571429;0,010498687664042
"2020";"87";"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";11;6;296;97;0,0279898218829517;0,0202702702702703
"2021";"1";"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";39;29;1212;605;0,0214639515685195;0,0239273927392739
"2021";"2";"2-Droit public";"Droit et science politique";"Droit, économie et gestion";33;20;794;498;0,0255417956656347;0,0251889168765743
"2021";"3";"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";10;2;150;109;0,0386100386100386;0,0133333333333333
"2021";"4";"4-Science politique";"Droit et science politique";"Droit, économie et gestion";10;5;265;127;0,0255102040816327;0,0188679245283019
"2021";"5";"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";49;25;1168;548;0,0285547785547786;0,0214041095890411
"2021";"6";"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";67;17;1620;494;0,0316934720908231;0,0104938271604938
"2021";"7";"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";26;12;530;234;0,0340314136125654;0,0226415094339623
"2021";"8";"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";5;2;185;99;0,0176056338028169;0,0108108108108108
"2021";"9";"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";21;13;594;302;0,0234375;0,0218855218855219
"2021";"10";"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";6;7;127;84;0,028436018957346;0,0551181102362205
"2021";"11";"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";44;18;1248;382;0,0269938650306748;0,0144230769230769
"2021";"12";"12-Etudes germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";3;5;286;92;0,00793650793650794;0,0174825174825175
"2021";"13";"13-Etudes slaves et baltes";"Langues et littératures";"Lettres et sciences humaines";1;1;93;33;0,00793650793650794;0,010752688172043
"2021";"14";"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";20;15;727;232;0,0208550573514077;0,0206327372764787
"2021";"15";"15-Langues, littératures et cultures africaines, asiatiques et d'autres aires";"Langues et littératures";"Lettres et sciences humaines";20;5;305;110;0,0481927710843374;0,0163934426229508
"2021";"16";"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";45;24;964;407;0,0328227571115974;0,024896265560166
"2021";"17";"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";5;13;234;158;0,0127551020408163;0,0555555555555556
"2021";"18";"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";30;11;527;201;0,0412087912087912;0,0208728652751423
"2021";"19";"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";15;16;633;249;0,0170068027210884;0,0252764612954186
"2021";"20";"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";4;7;136;69;0,0195121951219512;0,0514705882352941
"2021";"21";"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";17;16;479;255;0,0231607629427793;0,0334029227557411
"2021";"22";"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";18;17;669;386;0,0170616113744076;0,0254110612855007
"2021";"23";"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";25;13;595;260;0,0292397660818713;0,0218487394957983
"2021";"24";"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";5;3;163;98;0,0191570881226054;0,0184049079754601
"2021";"25";"25-Mathématiques";"Mathématiques et informatique";"Sciences";24;18;796;488;0,0186915887850467;0,0226130653266332
"2021";"26";"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";40;18;1144;631;0,0225352112676056;0,0157342657342657
"2021";"27";"27-Informatique";"Mathématiques et informatique";"Sciences";66;34;2372;970;0,0197486535008977;0,0143338954468803
"2021";"28";"28-Milieux denses et matériaux";"Physique";"Sciences";18;13;849;487;0,0134730538922156;0,0153121319199058
"2021";"29";"29-Constituants élémentaires";"Physique";"Sciences";4;5;221;173;0,0101522842639594;0,0226244343891403
"2021";"30";"30-Milieux dilués et optique";"Physique";"Sciences";4;4;371;247;0,00647249190938511;0,0107816711590297
"2021";"31";"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";10;13;663;324;0,0101317122593718;0,0196078431372549
"2021";"32";"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";11;7;832;392;0,00898692810457516;0,00841346153846154
"2021";"33";"33-Chimie des matériaux";"Chimie";"Sciences";7;8;577;331;0,00770925110132159;0,0138648180242634
"2021";"34";"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";3;0;113;74;0,0160427807486631;0
"2021";"35";"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";13;6;326;177;0,025844930417495;0,0184049079754601
"2021";"36";"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";3;2;266;124;0,00769230769230769;0,0075187969924812
"2021";"37";"37-Météorologie, océanographie physique et physique de l'environnement";"Sciences de la terre";"Sciences";1;2;132;59;0,00523560209424084;0,0151515151515152
"2021";"60";"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";40;20;1611;786;0,0166875260742595;0,0124146492861577
"2021";"61";"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";29;23;1208;553;0,0164679159568427;0,0190397350993377
"2021";"62";"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";16;10;698;389;0,0147194112235511;0,0143266475644699
"2021";"63";"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";28;12;1110;577;0,016597510373444;0,0108108108108108
"2021";"64";"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";12;15;774;292;0,0112570356472795;0,0193798449612403
"2021";"65";"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";11;9;752;279;0,0106692531522793;0,011968085106383
"2021";"66";"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";10;5;548;196;0,0134408602150538;0,00912408759124088
"2021";"67";"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";8;10;501;193;0,0115273775216138;0,0199600798403194
"2021";"68";"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";7;3;343;152;0,0141414141414141;0,0087463556851312
"2021";"69";"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";9;3;281;114;0,0227848101265823;0,0106761565836299
"2021";"70";"70-Sciences de l'éducation et de la formation";"Pluridisciplinaire";"Lettres et sciences humaines";30;19;505;173;0,0442477876106195;0,0376237623762376
"2021";"71";"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";32;10;619;170;0,0405576679340938;0,0161550888529887
"2021";"72";"72-Epistémologie, histoire des sciences et des techniques";"Pluridisciplinaire";"Lettres et sciences humaines";1;1;69;22;0,010989010989011;0,0144927536231884
"2021";"73";"73-Cultures et langues régionales";"Pluridisciplinaire";"Lettres et sciences humaines";2;0;27;20;0,0425531914893617;0
"2021";"74";"74-Sciences et techniques des activités physiques et sportives";"Pluridisciplinaire";"Lettres et sciences humaines";35;11;648;174;0,0425790754257908;0,0169753086419753
"2021";"77";"77-Théologie protestante";"Théologie";"Lettres et sciences humaines";1;0;4;14;0,0555555555555556;0
"2021";"85";"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";9;7;322;112;0,0207373271889401;0,0217391304347826
"2021";"86";"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";14;6;381;179;0,025;0,015748031496063
"2021";"87";"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";8;1;296;97;0,0203562340966921;0,00337837837837838
